ds,unique_id,y
2021-12-01,0401,555
2022-01-01,0401,242
2022-02-01,0401,175
2022-03-01,0401,509
2022-04-01,0401,343
2022-05-01,0401,471
2022-06-01,0401,183
2022-07-01,0401,175
2022-08-01,0401,294
2022-09-01,0401,275
2022-10-01,0401,171
2022-11-01,0401,240
2022-12-01,0401,677
2023-01-01,0401,475
2023-02-01,0401,320
2023-03-01,0401,392
2023-04-01,0401,266
2023-05-01,0401,390
2023-06-01,0401,351
2023-07-01,0401,269
2023-08-01,0401,319
2023-09-01,0401,305
2018-01-01,0403,0
2018-02-01,0403,3
2018-03-01,0403,0
2018-04-01,0403,10
2018-05-01,0403,13
2018-06-01,0403,0
2018-07-01,0403,14
2018-08-01,0403,0
2018-09-01,0403,36
2018-10-01,0403,0
2018-11-01,0403,23
2018-12-01,0403,43
2019-01-01,0403,30
2019-02-01,0403,15
2019-03-01,0403,30
2019-04-01,0403,7
2019-05-01,0403,10
2019-06-01,0403,0
2019-07-01,0403,3
2019-08-01,0403,0
2019-09-01,0403,13
2019-10-01,0403,0
2019-11-01,0403,0
2019-12-01,0403,0
2020-01-01,0403,0
2020-02-01,0403,9
2020-03-01,0403,0
2020-04-01,0403,1
2020-05-01,0403,0
2020-06-01,0403,0
2020-07-01,0403,0
2020-08-01,0403,0
2020-09-01,0403,0
2020-10-01,0403,0
2020-11-01,0403,0
2020-12-01,0403,8
2021-01-01,0403,0
2021-02-01,0403,0
2021-03-01,0403,0
2021-04-01,0403,0
2021-05-01,0403,0
2021-06-01,0403,0
2021-07-01,0403,0
2021-08-01,0403,3
2021-09-01,0403,0
2021-10-01,0403,0
2021-11-01,0403,5
2021-12-01,0403,0
2022-01-01,0403,0
2022-02-01,0403,0
2022-03-01,0403,0
2022-04-01,0403,0
2022-05-01,0403,0
2022-06-01,0403,248
2022-07-01,0403,588
2022-08-01,0403,401
2022-09-01,0403,336
2022-10-01,0403,432
2022-11-01,0403,469
2022-12-01,0403,424
2023-01-01,0403,276
2023-02-01,0403,506
2023-03-01,0403,819
2023-04-01,0403,442
2023-05-01,0403,217
2023-06-01,0403,289
2023-07-01,0403,662
2023-08-01,0403,583
2023-09-01,0403,166
2018-01-01,0404,3
2018-02-01,0404,1
2018-03-01,0404,1
2018-04-01,0404,9
2018-05-01,0404,1
2018-06-01,0404,4
2018-07-01,0404,1
2018-08-01,0404,12
2018-09-01,0404,7
2018-10-01,0404,3
2018-11-01,0404,6
2018-12-01,0404,3
2019-01-01,0404,0
2019-02-01,0404,0
2019-03-01,0404,0
2019-04-01,0404,3
2019-05-01,0404,0
2019-06-01,0404,0
2019-07-01,0404,0
2019-08-01,0404,1
2019-09-01,0404,0
2019-10-01,0404,1
2019-11-01,0404,0
2019-12-01,0404,0
2020-01-01,0404,1
2020-02-01,0404,0
2020-03-01,0404,0
2020-04-01,0404,0
2020-05-01,0404,0
2020-06-01,0404,0
2020-07-01,0404,0
2020-08-01,0404,0
2020-09-01,0404,0
2020-10-01,0404,7
2020-11-01,0404,25
2020-12-01,0404,25
2021-01-01,0404,23
2021-02-01,0404,18
2021-03-01,0404,12
2021-04-01,0404,7
2021-05-01,0404,15
2021-06-01,0404,10
2021-07-01,0404,7
2021-08-01,0404,0
2021-09-01,0404,2
2021-10-01,0404,0
2021-11-01,0404,2
2021-12-01,0404,0
2022-01-01,0404,0
2022-02-01,0404,0
2022-03-01,0404,0
2022-04-01,0404,0
2022-05-01,0404,0
2022-06-01,0404,0
2022-07-01,0404,0
2022-08-01,0404,0
2022-09-01,0404,2
2022-10-01,0404,1
2022-11-01,0404,2
2022-12-01,0404,5
2023-01-01,0404,1
2023-02-01,0404,1
2023-03-01,0404,0
2023-04-01,0404,1
2023-05-01,0404,2
2023-06-01,0404,0
2023-07-01,0404,0
2023-08-01,0404,1
2023-09-01,0404,0
2018-01-01,0405,2
2018-02-01,0405,28
2018-03-01,0405,0
2018-04-01,0405,5
2018-05-01,0405,25
2018-06-01,0405,78
2018-07-01,0405,25
2018-08-01,0405,25
2018-09-01,0405,95
2018-10-01,0405,42
2018-11-01,0405,93
2018-12-01,0405,70
2019-01-01,0405,18
2019-02-01,0405,24
2019-03-01,0405,30
2019-04-01,0405,76
2019-05-01,0405,87
2019-06-01,0405,57
2019-07-01,0405,99
2019-08-01,0405,75
2019-09-01,0405,96
2019-10-01,0405,98
2019-11-01,0405,108
2019-12-01,0405,170
2020-01-01,0405,50
2020-02-01,0405,50
2020-03-01,0405,62
2020-04-01,0405,50
2020-05-01,0405,4
2020-06-01,0405,3
2020-07-01,0405,14
2020-08-01,0405,22
2020-09-01,0405,36
2020-10-01,0405,54
2020-11-01,0405,99
2020-12-01,0405,11
2021-01-01,0405,22
2021-02-01,0405,28
2021-03-01,0405,1
2021-04-01,0405,5
2021-05-01,0405,50
2021-06-01,0405,80
2021-07-01,0405,80
2021-08-01,0405,90
2021-09-01,0405,62
2021-10-01,0405,41
2021-11-01,0405,20
2021-12-01,0405,32
2022-01-01,0405,36
2022-02-01,0405,0
2022-03-01,0405,30
2022-04-01,0405,19
2022-05-01,0405,59
2022-06-01,0405,60
2022-07-01,0405,12
2022-08-01,0405,52
2022-09-01,0405,46
2022-10-01,0405,11
2022-11-01,0405,14
2022-12-01,0405,36
2023-01-01,0405,80
2023-02-01,0405,14
2023-03-01,0405,41
2023-04-01,0405,28
2023-05-01,0405,70
2023-06-01,0405,54
2023-07-01,0405,102
2023-08-01,0405,113
2023-09-01,0405,70
2018-01-01,0406,1
2018-02-01,0406,7
2018-03-01,0406,0
2018-04-01,0406,0
2018-05-01,0406,1
2018-06-01,0406,2
2018-07-01,0406,3
2018-08-01,0406,0
2018-09-01,0406,2
2018-10-01,0406,0
2018-11-01,0406,2
2018-12-01,0406,2
2019-01-01,0406,0
2019-02-01,0406,0
2019-03-01,0406,1
2019-04-01,0406,4
2019-05-01,0406,4
2019-06-01,0406,0
2019-07-01,0406,4
2019-08-01,0406,2
2019-09-01,0406,5
2019-10-01,0406,2
2019-11-01,0406,3
2019-12-01,0406,2
2020-01-01,0406,0
2020-02-01,0406,0
2020-03-01,0406,0
2020-04-01,0406,0
2020-05-01,0406,0
2020-06-01,0406,0
2020-07-01,0406,2
2020-08-01,0406,0
2020-09-01,0406,0
2020-10-01,0406,0
2020-11-01,0406,2
2020-12-01,0406,0
2021-01-01,0406,3
2021-02-01,0406,1
2021-03-01,0406,0
2021-04-01,0406,1
2021-05-01,0406,1
2021-06-01,0406,1
2021-07-01,0406,2
2021-08-01,0406,2
2021-09-01,0406,0
2021-10-01,0406,1
2021-11-01,0406,2
2021-12-01,0406,2
2022-01-01,0406,0
2022-02-01,0406,0
2022-03-01,0406,0
2022-04-01,0406,1
2022-05-01,0406,2
2022-06-01,0406,0
2022-07-01,0406,0
2022-08-01,0406,0
2022-09-01,0406,5
2022-10-01,0406,1
2022-11-01,0406,0
2022-12-01,0406,1
2023-01-01,0406,0
2023-02-01,0406,0
2023-03-01,0406,0
2023-04-01,0406,0
2023-05-01,0406,0
2023-06-01,0406,2
2023-07-01,0406,3
2023-08-01,0406,0
2023-09-01,0406,0
2018-01-01,0407,1
2018-02-01,0407,0
2018-03-01,0407,1
2018-04-01,0407,4
2018-05-01,0407,0
2018-06-01,0407,4
2018-07-01,0407,0
2018-08-01,0407,2
2018-09-01,0407,3
2018-10-01,0407,9
2018-11-01,0407,6
2018-12-01,0407,8
2019-01-01,0407,3
2019-02-01,0407,14
2019-03-01,0407,4
2019-04-01,0407,10
2019-05-01,0407,3
2019-06-01,0407,1
2019-07-01,0407,9
2019-08-01,0407,19
2019-09-01,0407,10
2019-10-01,0407,15
2019-11-01,0407,8
2019-12-01,0407,12
2020-01-01,0407,3
2020-02-01,0407,23
2020-03-01,0407,5
2020-04-01,0407,12
2020-05-01,0407,9
2020-06-01,0407,5
2020-07-01,0407,2
2020-08-01,0407,13
2020-09-01,0407,5
2020-10-01,0407,2
2020-11-01,0407,6
2020-12-01,0407,12
2021-01-01,0407,0
2021-02-01,0407,4
2021-03-01,0407,3
2021-04-01,0407,3
2021-05-01,0407,8
2021-06-01,0407,9
2021-07-01,0407,7
2021-08-01,0407,3
2021-09-01,0407,2
2021-10-01,0407,2
2021-11-01,0407,5
2021-12-01,0407,4
2022-01-01,0407,14
2022-02-01,0407,0
2022-03-01,0407,4
2022-04-01,0407,2
2022-05-01,0407,18
2022-06-01,0407,11
2022-07-01,0407,0
2022-08-01,0407,8
2022-09-01,0407,14
2022-10-01,0407,16
2022-11-01,0407,13
2022-12-01,0407,7
2023-01-01,0407,1
2023-02-01,0407,2
2023-03-01,0407,7
2023-04-01,0407,5
2023-05-01,0407,3
2023-06-01,0407,3
2023-07-01,0407,15
2023-08-01,0407,6
2023-09-01,0407,10
2018-01-01,0408,0
2018-02-01,0408,0
2018-03-01,0408,0
2018-04-01,0408,0
2018-05-01,0408,0
2018-06-01,0408,0
2018-07-01,0408,0
2018-08-01,0408,1
2018-09-01,0408,0
2018-10-01,0408,3
2018-11-01,0408,0
2018-12-01,0408,0
2019-01-01,0408,0
2019-02-01,0408,0
2019-03-01,0408,0
2019-04-01,0408,3
2019-05-01,0408,0
2019-06-01,0408,0
2019-07-01,0408,0
2019-08-01,0408,4
2019-09-01,0408,5
2019-10-01,0408,0
2019-11-01,0408,0
2019-12-01,0408,0
2020-01-01,0408,0
2020-02-01,0408,0
2020-03-01,0408,0
2020-04-01,0408,0
2020-05-01,0408,0
2020-06-01,0408,0
2020-07-01,0408,0
2020-08-01,0408,0
2020-09-01,0408,0
2020-10-01,0408,0
2020-11-01,0408,0
2020-12-01,0408,0
2021-01-01,0408,0
2021-02-01,0408,0
2021-03-01,0408,0
2021-04-01,0408,0
2021-05-01,0408,0
2021-06-01,0408,0
2021-07-01,0408,0
2021-08-01,0408,0
2021-09-01,0408,0
2021-10-01,0408,4
2021-11-01,0408,0
2021-12-01,0408,0
2022-01-01,0408,0
2022-02-01,0408,0
2022-03-01,0408,0
2022-04-01,0408,0
2022-05-01,0408,0
2022-06-01,0408,0
2022-07-01,0408,0
2022-08-01,0408,0
2022-09-01,0408,0
2022-10-01,0408,0
2022-11-01,0408,0
2022-12-01,0408,0
2023-01-01,0408,0
2023-02-01,0408,0
2023-03-01,0408,2
2023-04-01,0408,0
2023-05-01,0408,0
2023-06-01,0408,0
2023-07-01,0408,0
2023-08-01,0408,0
2023-09-01,0408,0
2018-01-01,0409,4
2018-02-01,0409,4
2018-03-01,0409,11
2018-04-01,0409,7
2018-05-01,0409,9
2018-06-01,0409,12
2018-07-01,0409,4
2018-08-01,0409,9
2018-09-01,0409,11
2018-10-01,0409,3
2018-11-01,0409,5
2018-12-01,0409,9
2019-01-01,0409,0
2019-02-01,0409,2
2019-03-01,0409,5
2019-04-01,0409,6
2019-05-01,0409,9
2019-06-01,0409,4
2019-07-01,0409,2
2019-08-01,0409,12
2019-09-01,0409,11
2019-10-01,0409,6
2019-11-01,0409,10
2019-12-01,0409,10
2020-01-01,0409,4
2020-02-01,0409,1
2020-03-01,0409,3
2020-04-01,0409,1
2020-05-01,0409,0
2020-06-01,0409,2
2020-07-01,0409,1
2020-08-01,0409,4
2020-09-01,0409,2
2020-10-01,0409,3
2020-11-01,0409,1
2020-12-01,0409,0
2021-01-01,0409,5
2021-02-01,0409,2
2021-03-01,0409,1
2021-04-01,0409,2
2021-05-01,0409,0
2021-06-01,0409,6
2021-07-01,0409,1
2021-08-01,0409,1
2021-09-01,0409,0
2021-10-01,0409,3
2021-11-01,0409,1
2021-12-01,0409,0
2022-01-01,0409,0
2022-02-01,0409,0
2022-03-01,0409,1
2022-04-01,0409,2
2022-05-01,0409,4
2022-06-01,0409,4
2022-07-01,0409,1
2022-08-01,0409,1
2022-09-01,0409,2
2022-10-01,0409,4
2022-11-01,0409,1
2022-12-01,0409,12
2023-01-01,0409,6
2023-02-01,0409,4
2023-03-01,0409,8
2023-04-01,0409,15
2023-05-01,0409,16
2023-06-01,0409,11
2023-07-01,0409,8
2023-08-01,0409,13
2023-09-01,0409,13
2018-01-01,0410,0
2018-02-01,0410,0
2018-03-01,0410,2
2018-04-01,0410,0
2018-05-01,0410,0
2018-06-01,0410,3
2018-07-01,0410,3
2018-08-01,0410,1
2018-09-01,0410,3
2018-10-01,0410,0
2018-11-01,0410,0
2018-12-01,0410,0
2019-01-01,0410,0
2019-02-01,0410,0
2019-03-01,0410,2
2019-04-01,0410,0
